City,StopName,StopAddress,Note
Grand Forks,Creative Kids Corner,"2301 S Washington St, Grand Forks, ND 58201",
Grand Forks,Mexican Village,"1218 S Washington St, Grand Forks, ND 58201",
Grand Forks,St. Mary's Catholic Church,"216 Belmont Rd, Grand Forks, ND 58201",Deliver inside the game Door 1
Grand Forks,ND DOT -  Grand Forks District,"1951 N Washington St, Grand Forks, ND 58203",
Grand Forks,"Edgewood Corporate Plaza (Skies 322, Olive Ann)","322 Demers Ave, Grand Forks, ND 58203",
Grand Forks,Harry's Steakhouse,"421 Demers Ave, Grand Forks, ND 58201",
Grand Forks,Gate City Bank,"2850 24th Ave S, Grand Forks, ND 58201",
Grand Forks,Gate City Bank,"501 Demers Ave, Grand Forks, ND 58201",
Grand Forks,Fairfield by Mariott Inn & Suites East Grand Forks,"514 Gateway Dr NE, East Grand Forks, MN 56721",
Grand Forks,Perkins Restaurant,"1305 S Columbia Rd, Grand Forks, ND 58201",
Grand Forks,Dacotah Paper Co.,"3940 15th Ave N, Fargo, ND 58102",
Grand Forks,Jiffy Lube,"1780 S Columbia Rd, Grand Forks, ND 58201",
Grand Forks,Northridge,"214 N 4th St Ste 701, Grand Forks, ND 58203",
Grand Forks,North Dakota Eye Clinic,"1820 S 42nd St, Grand Forks, ND 58201",
Grand Forks,Grand Forks Park District,"1210 7th Ave S, Grand Forks, ND 58201",
Aberdeen,Harr Motors,"4255 6th Ave SE, Aberdeen, SD 57401",
Aberdeen,Angelhouse / Jennifer Pockat,"1717 East Melgaard Road, Aberdeen, Brown County, 57401",Door Code: 13579#
Aberdeen,Pantorium Cleaners,"215 1st Ave SW, Aberdeen, Brown County, 57401",
Aberdeen,Quality Inn,"2923 6th Ave SE, Aberdeen, SD 57401",
Aberdeen,TownePlace Suites By Marriott ,"402 Norwood Street S, Aberdeen, SD 57401",
Aberdeen,Sanford Medical Center,"2905 3rd Ave SE, Aberdeen, SD 57401",
Aberdeen,Hampton Inn & Suites Aberdeen,"3216 7th Ave SE, Aberdeen, SD 57401",
Aberdeen,Holiday Inn Express & Suites,"3310 7th Ave SE, Aberdeen, SD 57401",
Aberdeen,AmericInn by Wyndgam Aberdeen,"301 Centennial St S, Aberdeen, SD 57401",
Aberdeen,Aberdeen Regional Airport,"4760 6th Avenue SE, Aberdeen, SD 57401",
Aberdeen,Dacotah Bank,"308 S Main St, Aberdeen, SD 57401",
Aberdeen,Enemy Swim Day School,"13525 446th Avenue, Waubay, 57273",
Aberdeen,Dacotah Bank (Webster),"600 Main Street, Webster, SD 57274",
Aberdeen,Tommy's Express Car Wash,"515 South 2nd Street, Aberdeen, 57401",
Aberdeen,Ryan's Candy,"217 1st Ave SW, Aberdeen, Brown County, 57401",
Aberdeen,Best Western Ramkota Hotel,"1400 8th Avenue Northwest, Aberdeen, SD 57401",
Aberdeen,Avera Mother Joseph Manor Retirement,"1002 N Jay St, Aberdeen, SD 57401",
Aberdeen,Avera St Lukes Therapy Center,"805 1st Ave SE, Aberdeen, SD 57401",
Aberdeen,Avera St. Luke's Behavioral Health,"305 S State St, Aberdeen, SD 57401",
Aberdeen,Americal Inc.,"500 South Boyd Street, Aberdeen, Brown County, 57401",
Aberdeen,Ken's SuperFair Foods & Shell Express,"2105 6th Ave SE, Aberdeen, SD 57401",
Aberdeen,Dacotah Paper Co.,"3940 15th Ave N, Fargo, ND 58102",
Aberdeen,Bryana Rombs (Saleslady),"612 Kettering Dr, Aberdeen, SD 57401",
Aberdeen,Twist Cone,"503 N 3rd St, Aberdeen, SD 57401",
Aberdeen,Avera State St Medical Square,"105 S State St, Aberdeen, SD 57401",
Aberdeen,Tiffany Foods (Aberdeen Public Safety Building),"114 2nd Ave SE, Aberdeen, SD 57401",
Alexandria,VIE Church,"2671 S McKay Ave, Alexandria, MN 56308",
Alexandria,The Oaks Childcare & Preschool,"2671 S McKay Ave, Alexandria, MN 56308",
Alexandria,Alexandria Area YMCA,"110 Karl Dr, Alexandria, MN 56308",
Alexandria,Alex Assisted Living,"90 E Lake Cowdry Rd, Alexandria, MN 56308",
Alexandria,Lake Darling Resort,"2301 County Rd 22 NW, Alexandria, MN 56308",
Alexandria,Central Lakes Restaurant Supply,"1128 N Nokomis NE, Alexandria, MN 56308",
Alexandria,Henry's Food Inc,"234 McKay Ave N, Alexandria, MN 56308",
Alexandria,Nelson Care Center by Vivie,"420 12th Ave E, Alexandria, MN 56308",
Alexandria,Arrowwood Resort & Conference Center,"2100 Arrowwood Ln, Alexandria, MN 56308",
Alexandria,Gathered Oaks,"4550 County Rd 34 NW, Alexandria, MN 56308",
Alexandria,Lake Country Meats,"1700 N Nokomis NE, Alexandria, MN 56308",
Alexandria,Unknow Customer,"1415 Ridgeview Terrace Northeast, Alexandria, Douglas County, 56308",
Alexandria,Alexandria Light & Power,"1015 34th Ave E, Alexandria, MN 56308",Code: 1987 + Bottom right
Alexandria,Hampton Inn & Suites Alexandria,"2705 S Broadway St, Alexandria, MN 56308",
Alexandria,Centrasota Oral Surgeons,"2633 Jefferson St #602, Alexandria, MN 56308",
Alexandria,Dough Hasz Kettle Korn (Massman Companies),"2340 Nevadata St SW, Alexandria, Douglas County, 56308",
Alexandria,TWF Industries,"2611 County Road 45 Southwest, Alexandria, MN 56308",
Alexandria,Reach Church,"1310 N Nokomis NE, Alexandria, MN 56308",
Alexandria,Arabella Manor,"1812 Darling Ave E #1810, Alexandria, MN 56308",
Alexandria,Alomere Health,"1701 Broadway St, Alexandria, MN 56308",
Alexandria,Gate City Bank,"1630 Broadway Street, Alexandria, MN 56308",
Alexandria,Juettner Motors,"1900 Broadway St, Alexandria, MN 56308",
